SKU,ID,longDescription__default,name__default,category-id,amount,currency,onlineFlag__default,variants,lastModified_date,variation_attributes,size,color,product_kind
b7722173-5000-40d0-90a0-8731f54b5d7d,b7722173-5000-40d0-90a0-8731f54b5d7d,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,shoes,4694.4,USD,TRUE,,28/05/25,,,,master
d74e633a-ad5d-498a-af02-44a71ca9add5,d74e633a-ad5d-498a-af02-44a71ca9add5,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,jewelry,5604.2,USD,TRUE,,28/05/25,,,,master
88e350d1-a856-406f-ac02-6c5e87933638,88e350d1-a856-406f-ac02-6c5e87933638,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,3604.4,USD,TRUE,,28/05/25,,,,master
8b65cb57-c729-496b-b46f-7854279ef849,8b65cb57-c729-496b-b46f-7854279ef849,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,suits,2415.5,USD,TRUE,,28/05/25,,,,master
b743a87b-93b0-46b5-99b4-8f91add25732,b743a87b-93b0-46b5-99b4-8f91add25732,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,shoes,3069,USD,TRUE,,28/05/25,,,,master
e7d53bc9-a491-48f1-ba9b-aa7b5cd0263e,e7d53bc9-a491-48f1-ba9b-aa7b5cd0263e,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,9960.9,USD,TRUE,,28/05/25,,,,master
af3ab9be-41c9-4c64-9f20-a1d976236abc,af3ab9be-41c9-4c64-9f20-a1d976236abc,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,9845,USD,TRUE,,28/05/25,,,,master
c74e4829-0220-4d19-bc95-9ac2335ac8a5,c74e4829-0220-4d19-bc95-9ac2335ac8a5,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,1220.7,USD,TRUE,,28/05/25,,,,master
26a0566b-1e40-4735-87ec-8afb881eb6ec,26a0566b-1e40-4735-87ec-8afb881eb6ec,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,9194.9,USD,TRUE,,28/05/25,,,,master
da94f29e-add9-4591-b179-8639c58eb967,da94f29e-add9-4591-b179-8639c58eb967,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,jewelry,5593.7,USD,TRUE,,28/05/25,,,,master
342a3e06-043b-42ac-99b6-164f67db0d57,342a3e06-043b-42ac-99b6-164f67db0d57,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,6545.5,USD,TRUE,,28/05/25,,,,master
15308065-6349-4814-bb92-afabe3255e2b,15308065-6349-4814-bb92-afabe3255e2b,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,9959,USD,TRUE,,28/05/25,,,,master
4a958c0c-2d17-4d37-a69e-54a2f013c8a7,4a958c0c-2d17-4d37-a69e-54a2f013c8a7,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,7941.5,USD,TRUE,,28/05/25,,,,master
2e1b0e97-4013-4f6d-8036-da227f117b75,2e1b0e97-4013-4f6d-8036-da227f117b75,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,4955.7,USD,TRUE,,28/05/25,,,,master
72bcdd75-416f-4cab-8add-5e3a197db34c,72bcdd75-416f-4cab-8add-5e3a197db34c,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,9385.4,USD,TRUE,,28/05/25,,,,master
88b3f26e-49f7-4db5-b38c-df92dcce7998,88b3f26e-49f7-4db5-b38c-df92dcce7998,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,2364.4,USD,TRUE,,28/05/25,,,,master
cdbff998-2ae2-4349-97f1-144cfd90c74d,cdbff998-2ae2-4349-97f1-144cfd90c74d,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,accessories,9386.4,USD,TRUE,,28/05/25,,,,master
c8f28f57-e70c-4405-ba85-50bb99835486,c8f28f57-e70c-4405-ba85-50bb99835486,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,9798.5,USD,TRUE,,28/05/25,,,,master
15a68019-ff00-4ec2-ae33-1c40717af7a0,15a68019-ff00-4ec2-ae33-1c40717af7a0,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,lighting,7081.8,USD,TRUE,,28/05/25,,,,master
100c1f35-2d62-4da4-bc1d-80976963a4eb,100c1f35-2d62-4da4-bc1d-80976963a4eb,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,holidayCollection,2823.2,USD,TRUE,,28/05/25,,,,master
35b66581-1ef9-4556-9a6a-dbb58cf702a0,35b66581-1ef9-4556-9a6a-dbb58cf702a0,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,8906.6,USD,TRUE,,28/05/25,,,,master
2c096d13-6ea6-48d1-b4f1-ab198741c417,2c096d13-6ea6-48d1-b4f1-ab198741c417,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,7853.5,USD,TRUE,,28/05/25,,,,master
c5c695ed-d767-40fb-a6e7-89839e53a5ed,c5c695ed-d767-40fb-a6e7-89839e53a5ed,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,4601.8,USD,TRUE,,28/05/25,,,,master
ae433c04-4d30-476b-80a8-41183e6230e2,ae433c04-4d30-476b-80a8-41183e6230e2,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,7215.7,USD,TRUE,,28/05/25,,,,master
3ea3f7d0-2d14-4f6a-9d4d-c266e2393f04,3ea3f7d0-2d14-4f6a-9d4d-c266e2393f04,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,7161.6,USD,TRUE,,28/05/25,,,,master
2d88674e-a7f1-42fa-8eae-29d5661eac15,2d88674e-a7f1-42fa-8eae-29d5661eac15,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,7004.8,USD,TRUE,,28/05/25,,,,master
c00b458a-1a40-4459-978d-5771068a25d8,c00b458a-1a40-4459-978d-5771068a25d8,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,suits,5117.5,USD,TRUE,,28/05/25,,,,master
1bd7b104-a6e9-480c-a8cd-277d2ac98164,1bd7b104-a6e9-480c-a8cd-277d2ac98164,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,9818.3,USD,TRUE,,28/05/25,,,,master
91d91343-4d34-4976-b69c-4c55ef257b28,91d91343-4d34-4976-b69c-4c55ef257b28,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,7261.1,USD,TRUE,,28/05/25,,,,master
52154e76-d78d-4c4d-a0ad-14dc8f417222,52154e76-d78d-4c4d-a0ad-14dc8f417222,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,holidayCollection,7424.9,USD,TRUE,,28/05/25,,,,master
accaa22c-8cec-4c9d-bb1c-a80cc90d5b34,accaa22c-8cec-4c9d-bb1c-a80cc90d5b34,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,handbags,9547.2,USD,TRUE,,28/05/25,,,,master
138f657f-9d53-41e5-be33-1bcea8eb97d1,138f657f-9d53-41e5-be33-1bcea8eb97d1,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,3591.4,USD,TRUE,,28/05/25,,,,master
1324c02f-63f5-4317-9f6b-9c316c474239,1324c02f-63f5-4317-9f6b-9c316c474239,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,5756.7,USD,TRUE,,28/05/25,,,,master
e250370a-97bb-437e-b290-1bf294b108e6,e250370a-97bb-437e-b290-1bf294b108e6,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,handbags,9460.7,USD,TRUE,,28/05/25,,,,master
2201f606-8808-43ca-9117-19b6796e6e31,2201f606-8808-43ca-9117-19b6796e6e31,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,6337.1,USD,TRUE,,28/05/25,,,,master
0aaedb37-68a0-413b-8457-ac52db8c38d7,0aaedb37-68a0-413b-8457-ac52db8c38d7,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,2547.3,USD,TRUE,,28/05/25,,,,master
4c69702b-58bf-4d07-8396-614f670b25ae,4c69702b-58bf-4d07-8396-614f670b25ae,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,6499.5,USD,TRUE,,28/05/25,,,,master
4ae71a2f-d26c-4360-9691-cd1cec014d17,4ae71a2f-d26c-4360-9691-cd1cec014d17,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,2387.7,USD,TRUE,,28/05/25,,,,master
d95a5cf9-d72b-4e8c-8bfc-262300edc4d3,d95a5cf9-d72b-4e8c-8bfc-262300edc4d3,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,jewelry,6098.7,USD,TRUE,,28/05/25,,,,master
318236ca-8e46-4bda-96b6-c82e0c71dea7,318236ca-8e46-4bda-96b6-c82e0c71dea7,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,lighting,2617.6,USD,TRUE,,28/05/25,,,,master
deb40a04-b6aa-4c3b-88bf-7a013bfef71c,deb40a04-b6aa-4c3b-88bf-7a013bfef71c,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,4702.5,USD,TRUE,,28/05/25,,,,master
a0301609-1760-487a-a320-a24bcae2b7b3,a0301609-1760-487a-a320-a24bcae2b7b3,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,accessories,9433.7,USD,TRUE,,28/05/25,,,,master
f2ad5715-041d-4956-9874-c7dbf9b968aa,f2ad5715-041d-4956-9874-c7dbf9b968aa,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,5248,USD,TRUE,,28/05/25,,,,master
ab409091-0147-4f47-9c5e-ab772b1df6ab,ab409091-0147-4f47-9c5e-ab772b1df6ab,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,handbags,5156.8,USD,TRUE,,28/05/25,,,,master
87153189-f100-4615-8b04-08b001d7150d,87153189-f100-4615-8b04-08b001d7150d,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,3760.8,USD,TRUE,,28/05/25,,,,master
625213ff-e6de-455a-a823-1ea6b414cc78,625213ff-e6de-455a-a823-1ea6b414cc78,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,5848,USD,TRUE,,28/05/25,,,,master
b13c826a-ec74-495a-9732-c557cd3d9836,b13c826a-ec74-495a-9732-c557cd3d9836,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,3401,USD,TRUE,,28/05/25,,,,master
02656a92-7078-4f8a-8055-37ad98acfff9,02656a92-7078-4f8a-8055-37ad98acfff9,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,6152.6,USD,TRUE,,28/05/25,,,,master
3e86671e-db01-4569-8553-0cef5c263a82,3e86671e-db01-4569-8553-0cef5c263a82,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,5779.5,USD,TRUE,,28/05/25,,,,master
7a553a3e-20db-469c-a2bc-1fe3314472a6,7a553a3e-20db-469c-a2bc-1fe3314472a6,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,2626.6,USD,TRUE,,28/05/25,,,,master
8f5bdd32-b4d9-4e4d-b000-2976b5262998,8f5bdd32-b4d9-4e4d-b000-2976b5262998,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,1540.6,USD,TRUE,,28/05/25,,,,master
f54dc401-afe7-4a0e-8dc0-0b3f0ef8f596,f54dc401-afe7-4a0e-8dc0-0b3f0ef8f596,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,accessories,1043.5,USD,TRUE,,28/05/25,,,,master
20b87a18-7859-4dc3-aa7d-0f4f98efca75,20b87a18-7859-4dc3-aa7d-0f4f98efca75,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,1212.9,USD,TRUE,,28/05/25,,,,master
2a5ab590-2e81-4349-9eec-536ab7aa4532,2a5ab590-2e81-4349-9eec-536ab7aa4532,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,3601.8,USD,TRUE,,28/05/25,,,,master
dc82de0c-c733-4d86-b0e0-0e86caaf10cf,dc82de0c-c733-4d86-b0e0-0e86caaf10cf,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,7326,USD,TRUE,,28/05/25,,,,master
5ce6757a-371c-42d9-b406-a3a5e374d931,5ce6757a-371c-42d9-b406-a3a5e374d931,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,6497.7,USD,TRUE,,28/05/25,,,,master
f1a194f4-b8a4-4ff5-8a99-76898380c3c9,f1a194f4-b8a4-4ff5-8a99-76898380c3c9,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,9795.8,USD,TRUE,,28/05/25,,,,master
9360e557-9a29-4c3c-ad18-f3a20440b2db,9360e557-9a29-4c3c-ad18-f3a20440b2db,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,7604.6,USD,TRUE,,28/05/25,,,,master
c12f8410-098f-40e8-944b-9a1064ef6871,c12f8410-098f-40e8-944b-9a1064ef6871,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,suits,9565.6,USD,TRUE,,28/05/25,,,,master
85cc8e36-27fd-42a5-8770-08fb4cf50480,85cc8e36-27fd-42a5-8770-08fb4cf50480,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,5837.5,USD,TRUE,,28/05/25,,,,master
e5f58e72-1665-4a07-afe2-72c13c32a2db,e5f58e72-1665-4a07-afe2-72c13c32a2db,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,6317.5,USD,TRUE,,28/05/25,,,,master
aabaecaa-cb27-4ae9-9dc2-e58ad9258c99,aabaecaa-cb27-4ae9-9dc2-e58ad9258c99,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,handbags,3262.1,USD,TRUE,,28/05/25,,,,master
702707ae-135d-4f81-bb9f-a7d0bb4bfa01,702707ae-135d-4f81-bb9f-a7d0bb4bfa01,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,shoes,5961.6,USD,TRUE,,28/05/25,,,,master
4aa588d7-4055-413f-ac4b-73d0e4d0defb,4aa588d7-4055-413f-ac4b-73d0e4d0defb,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,9031.1,USD,TRUE,,28/05/25,,,,master
02153a5e-7137-4dd7-8ab1-4b3d8c6f8a9f,02153a5e-7137-4dd7-8ab1-4b3d8c6f8a9f,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,6747.2,USD,TRUE,,28/05/25,,,,master
53a0a5af-e2e2-44d6-8b22-0e209931821e,53a0a5af-e2e2-44d6-8b22-0e209931821e,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,holidayCollection,2044.2,USD,TRUE,,28/05/25,,,,master
0164d22d-9d6e-46f7-8f91-bee9ad67f9be,0164d22d-9d6e-46f7-8f91-bee9ad67f9be,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,5359.1,USD,TRUE,,28/05/25,,,,master
2bab0dd7-79c3-4ec3-a528-448bd9d1db93,2bab0dd7-79c3-4ec3-a528-448bd9d1db93,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,9084.1,USD,TRUE,,28/05/25,,,,master
22862edf-ced6-43b3-8c38-f1af051b13bd,22862edf-ced6-43b3-8c38-f1af051b13bd,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,6116.1,USD,TRUE,,28/05/25,,,,master
f85ff019-372a-47a6-8dfd-7a9926fb3d8f,f85ff019-372a-47a6-8dfd-7a9926fb3d8f,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,2805,USD,TRUE,,28/05/25,,,,master
a8fab168-b5da-4f72-a47b-3df007bfae50,a8fab168-b5da-4f72-a47b-3df007bfae50,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,6468.5,USD,TRUE,,28/05/25,,,,master
5cf84378-710f-4318-9138-8a26b13f7ce2,5cf84378-710f-4318-9138-8a26b13f7ce2,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,9986.2,USD,TRUE,,28/05/25,,,,master
bb50e01c-7b90-4900-90bb-537338ecb80f,bb50e01c-7b90-4900-90bb-537338ecb80f,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,shoes,2174.3,USD,TRUE,,28/05/25,,,,master
ebd2d284-ad53-46f2-b097-3fbf1827b9f7,ebd2d284-ad53-46f2-b097-3fbf1827b9f7,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,suits,6603.5,USD,TRUE,,28/05/25,,,,master
699a8c30-1005-4c7c-85b7-1a8c796f7961,699a8c30-1005-4c7c-85b7-1a8c796f7961,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,2620.8,USD,TRUE,,28/05/25,,,,master
ac0ff4a2-adca-42fb-bd39-54c2dc740970,ac0ff4a2-adca-42fb-bd39-54c2dc740970,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,handbags,7537.5,USD,TRUE,,28/05/25,,,,master
e4ba54b8-db2b-4c2b-9724-e909c332332b,e4ba54b8-db2b-4c2b-9724-e909c332332b,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,watches,8680.8,USD,TRUE,,28/05/25,,,,master
3da3ef56-fac4-4894-9430-7fb56d8debf3,3da3ef56-fac4-4894-9430-7fb56d8debf3,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,2931.7,USD,TRUE,,28/05/25,,,,master
c64c2da8-66ac-45cd-a213-10bd26f07e47,c64c2da8-66ac-45cd-a213-10bd26f07e47,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,4194.7,USD,TRUE,,28/05/25,,,,master
6c7f775a-7be7-48ec-8908-7206f22df6ba,6c7f775a-7be7-48ec-8908-7206f22df6ba,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,1975.7,USD,TRUE,,28/05/25,,,,master
2053ec0c-b1cc-4dcd-b75f-680cc4378a55,2053ec0c-b1cc-4dcd-b75f-680cc4378a55,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,holidayCollection,4966.8,USD,TRUE,,28/05/25,,,,master
837828ee-87e0-44a4-9204-5a6eeedb3da3,837828ee-87e0-44a4-9204-5a6eeedb3da3,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,accessories,1473.3,USD,TRUE,,28/05/25,,,,master
55c394fb-c9bf-4c38-9c2d-25473ce75310,55c394fb-c9bf-4c38-9c2d-25473ce75310,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,1295.1,USD,TRUE,,28/05/25,,,,master
353468ec-716e-4e5e-8e8f-424053a54611,353468ec-716e-4e5e-8e8f-424053a54611,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,8287.7,USD,TRUE,,28/05/25,,,,master
4d9d09cc-e98d-45c0-acbf-fbf07042ac02,4d9d09cc-e98d-45c0-acbf-fbf07042ac02,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,3688.4,USD,TRUE,,28/05/25,,,,master
0e2a0d21-2bca-4c42-ae1f-ad4d235a4a94,0e2a0d21-2bca-4c42-ae1f-ad4d235a4a94,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,holidayCollection,7016.3,USD,TRUE,,28/05/25,,,,master
4a428dae-5f3c-4117-8655-8d3397dc2605,4a428dae-5f3c-4117-8655-8d3397dc2605,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,tableware,2924.5,USD,TRUE,,28/05/25,,,,master
3c47a95a-268b-454b-b09f-a01254c23427,3c47a95a-268b-454b-b09f-a01254c23427,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,7291.5,USD,TRUE,,28/05/25,,,,master
ffadd217-d5e0-40a1-86f7-44d8ea7a220e,ffadd217-d5e0-40a1-86f7-44d8ea7a220e,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,dresses,1187.5,USD,TRUE,,28/05/25,,,,master
059aeb29-0d92-48f6-b214-a4bf6fd60261,059aeb29-0d92-48f6-b214-a4bf6fd60261,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,perfurme,2777.9,USD,TRUE,,28/05/25,,,,master
3ed28cf8-9a51-4fe1-82d0-dc2f740ca567,3ed28cf8-9a51-4fe1-82d0-dc2f740ca567,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,furniture,9732.8,USD,TRUE,,28/05/25,,,,master
6b37fa23-b080-4ad1-9b93-cb78b89d7703,6b37fa23-b080-4ad1-9b93-cb78b89d7703,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,skincare,4398.1,USD,TRUE,,28/05/25,,,,master
ae3143bb-959b-4e8e-a91e-2d2e613d9cd6,ae3143bb-959b-4e8e-a91e-2d2e613d9cd6,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,menshoes,9094,USD,TRUE,,28/05/25,,,,master
c06ad993-b75e-4b7b-9b01-ae278fb9270e,c06ad993-b75e-4b7b-9b01-ae278fb9270e,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,suits,7761.2,USD,TRUE,,28/05/25,,,,master
c2979ef6-bc59-4972-81de-aa6a154d33da,c2979ef6-bc59-4972-81de-aa6a154d33da,Calm and comfort sensitive skin with this soothing calendula toner. Infused with calendula extract and chamomile it reduces inflammation and redness.,Soothing Calendula Toner,suits,9006.5,USD,TRUE,,28/05/25,,,,master
